"Player","Team","Position","From","To","Date (CEST)","Gameweek"
"Michael Olise","CRY","M,F","Redford United","Sjeeterboys","Fri Mar 11, 2022, 9:54AM","29"
"Patrick Bamford","LEE","F","Sjeeterboys","Redford United","Fri Mar 11, 2022, 9:54AM","29"
"Dejan Kulusevski","TOT","M,F","Athletic de Bapao","NOAD Athletic","Mon Feb 28, 2022, 9:59AM","28"
"Anthony Gordon","EVE","M,F","NOAD Athletic","Athletic de Bapao","Mon Feb 28, 2022, 9:59AM","28"
"Tyrick Mitchell","CRY","D","Athletic de Bapao","Mövenpickje FC","Fri Feb 11, 2022, 8:54AM","25"
"Dan Burn","BHA/NEW","D,M","Mövenpickje FC","Athletic de Bapao","Fri Feb 11, 2022, 8:54AM","25"
"Dan Burn","BHA/NEW","D,M","Athletic de Bapao","Mövenpickje FC","Tue Feb 8, 2022, 4:26PM","24"
"Tyrick Mitchell","CRY","D","Mövenpickje FC","Athletic de Bapao","Tue Feb 8, 2022, 4:26PM","24"
"Jordan Ayew","CRY","M,F","Athletic de Bapao","Poor Man's Pirlo","Fri Dec 31, 2021, 3:12PM","21"
"Illan Meslier","LEE","G","Poor Man's Pirlo","Athletic de Bapao","Fri Dec 31, 2021, 3:12PM","21"
"Ollie Watkins","AVL","F","BarcelOna '53","Mövenpickje FC","Sun Dec 26, 2021, 2:18PM","19"
"Gabriel Magalhaes","ARS","D","BarcelOna '53","Mövenpickje FC","Sun Dec 26, 2021, 2:18PM","19"
"Sadio Mane","LIV","F","Mövenpickje FC","BarcelOna '53","Sun Dec 26, 2021, 2:18PM","19"
"Kyle Walker","MCI","D","Mövenpickje FC","BarcelOna '53","Sun Dec 26, 2021, 2:18PM","19"
"Romain Saiss","WOL","D,M","BarcelOna '53","Klimmania","Thu Dec 9, 2021, 8:55AM","16"
"Kevin De Bruyne","MCI","M","Klimmania","BarcelOna '53","Thu Dec 9, 2021, 8:55AM","16"
"Joao Cancelo","MCI","D,M","Nimma Koempels","Redford United","Sat Oct 9, 2021, 9:04PM","8"
"Bruno Fernandes","MUN","M,F","Redford United","Nimma Koempels","Sat Oct 9, 2021, 9:04PM","8"
"Roberto Firmino","LIV","F","BarcelOna '53","(Drop)","Sat Oct 2, 2021, 5:02PM","8"
"Caglar Soyuncu","LEI","D","BarcelOna '53","(Drop)","Sat Oct 2, 2021, 5:02PM","8"
"Mason Mount","CHE","M,F","Sjeeterboys","BarcelOna '53","Sat Oct 2, 2021, 5:02PM","8"
"James Tarkowski","BUR","D","Sjeeterboys","BarcelOna '53","Sat Oct 2, 2021, 5:02PM","8"
"Kurt Zouma","CHE/WHU","D","Klimmania","NOAD Athletic","Wed Sep 15, 2021, 10:23AM","5"
"Marcos Alonso","CHE","D,M","NOAD Athletic","Klimmania","Wed Sep 15, 2021, 10:23AM","5"
"Shane Duffy","BHA","D","BarcelOna '53","Mövenpickje FC","Fri Sep 10, 2021, 8:11PM","4"
"Aaron Wan-Bissaka","MUN","D,M","Mövenpickje FC","BarcelOna '53","Fri Sep 10, 2021, 8:11PM","4"
"Charlie Taylor","BUR","D","Nimma Koempels","Redford United","Fri Sep 3, 2021, 9:28AM","4"
"Ben Godfrey","EVE","D","Redford United","Nimma Koempels","Fri Sep 3, 2021, 9:28AM","4"
